job_title,seniority_level,years_of_experience,education_level,field_of_study,gpa,industry,company_size,location,skills,num_skills,num_projects,num_publications,num_internships,has_leadership_experience,has_open_source_contributions,certifications,annual_salary_usd
Backend Developer,Junior,7,PhD,Mathematics,2.87,Technology,Small (50-200),"Toronto, Canada",Git|Docker|C++,3,4,4,2,1,0,None,140009
AI Researcher,Principal,6,Bachelor,Other,3.04,Telecommunications,Small (50-200),"Austin, TX",Node.js|Excel|CI/CD|SQL|Leadership|Agile,6,0,0,1,0,1,Multiple Certs,175464
Database Administrator,Lead,4,Bachelor,Mathematics,3.16,Telecommunications,Startup (<50),"Austin, TX",Scala|Machine Learning|Deep Learning|Git|Linux|TensorFlow|Azure|Power BI,8,3,0,0,1,1,None,173045
Cloud Architect,Mid-level,8,Master,Mechanical Engineering,3.37,Pharmaceuticals,Startup (<50),"London, UK",Spark|SQL|NLP,3,5,0,1,0,0,AWS Certified,118862
Full Stack Developer,VP,14,Associate,Statistics,3.88,Retail,Enterprise (5000+),"Toronto, Canada",Data Visualization|NLP|TensorFlow|AWS|Spark|R|React,7,0,0,3,1,0,Google Cloud Certified,281496
Backend Developer,Senior,20,Bachelor,Data Science,3.42,Consulting,Enterprise (5000+),"London, UK",Leadership|Git|Communication|Deep Learning|Linux|Java,6,6,0,1,0,1,None,204634
Embedded Systems Engineer,Director,5,Master,Business Administration,3.74,Telecommunications,Medium (200-1000),"Bangalore, India",AWS|Azure|Linux|Java|Excel|Tableau|Python|JavaScript,8,0,0,0,0,0,Multiple Certs,193096
Cloud Architect,Staff,15,Bachelor,Data Science,3.49,E-commerce,Small (50-200),"Toronto, Canada",Node.js|React|AWS|Data Visualization,4,6,0,2,0,0,Azure Certified,212300
Cloud Architect,Mid-level,3,Master,Other,2.52,Energy,Medium (200-1000),"Bangalore, India",Python|Spark|PyTorch|React|NLP|Azure|Excel,7,7,0,2,1,0,Azure Certified,112689
DevOps Engineer,Senior,11,Associate,Information Technology,3.4,Pharmaceuticals,Startup (<50),"Boston, MA",CI/CD|Data Visualization|Docker,3,7,3,2,0,0,CISSP,153418
Full Stack Developer,Senior,14,Master,Mechanical Engineering,3.36,Media,Large (1000-5000),"Los Angeles, CA",C++|Kubernetes|Scrum|Excel|Leadership|NLP|Scala|Agile,8,6,5,1,1,0,Azure Certified,207505
